hour,O3_WATER_TJB3_4_water_m3_h,O3_WATER_TJB3_4_ozone_dose_g_m3,O3_WATER_TJB3_4_runtime_h,O3_WATER_TJB3_4_chemical_kg,O3_WATER_TJB3_4_carbon_kg,O3_WATER_TJB5_6_water_m3_h,O3_WATER_TJB5_6_ozone_dose_g_m3,O3_WATER_TJB5_6_runtime_h,O3_WATER_TJB5_6_chemical_kg,O3_WATER_TJB5_6_carbon_kg,O3_WATER_TJB7_8_water_m3_h,O3_WATER_TJB7_8_ozone_dose_g_m3,O3_WATER_TJB7_8_runtime_h,O3_WATER_TJB7_8_chemical_kg,O3_WATER_TJB7_8_carbon_kg,O3_WATER_TJB9_10_water_m3_h,O3_WATER_TJB9_10_ozone_dose_g_m3,O3_WATER_TJB9_10_runtime_h,O3_WATER_TJB9_10_chemical_kg,O3_WATER_TJB9_10_carbon_kg,unit_total_chemical_kg,unit_total_carbon_kg
2026-05-10 02:00:00+00:00,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0
2026-05-10 03:00:00+00:00,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0
2026-05-10 04:00:00+00:00,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0
2026-05-10 05:00:00+00:00,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0
2026-05-10 06:00:00+00:00,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0
2026-05-10 07:00:00+00:00,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0
2026-05-10 08:00:00+00:00,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0
2026-05-10 09:00:00+00:00,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0
2026-05-10 10:00:00+00:00,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0
2026-05-10 11:00:00+00:00,0.0,0.7,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0
2026-05-10 12:00:00+00:00,0.0,0.7,1.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0
2026-05-10 13:00:00+00:00,0.0,0.7,1.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0
2026-05-10 14:00:00+00:00,0.0,0.7,0.9833333333333332,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0
2026-05-10 15:00:00+00:00,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0
2026-05-10 16:00:00+00:00,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0
2026-05-10 17:00:00+00:00,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0
2026-05-10 18:00:00+00:00,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0
2026-05-10 19:00:00+00:00,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0
2026-05-10 20:00:00+00:00,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0
2026-05-10 21:00:00+00:00,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0
2026-05-10 22:00:00+00:00,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.8,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0
2026-05-10 23:00:00+00:00,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0
2026-05-11 00:00:00+00:00,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0
